Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Ethan Del Mastro,20242025,CHI,L,D,24,2,4,6,-3,6,0.25,2,6,0,0,0,0,0,0,19,10.5,18:19,--
Brendan Smith,20242025,DAL,L,D,32,1,5,6,-9,33,0.19,0,5,0,0,1,1,0,0,27,3.7,13:13,--
Phillip Di Giuseppe,20242025,VAN,L,L,20,1,5,6,-2,4,0.3,1,6,0,0,0,0,0,0,23,4.4,11:34,20
Derek Ryan,20242025,EDM,R,C,36,1,5,6,-4,12,0.17,1,6,0,0,0,0,0,0,20,5,9:21,60.4
Nick DeSimone,20242025,UTA,R,D,20,1,5,6,4,0,0.3,1,6,0,0,0,0,0,0,24,4.2,15:35,--
Nils Aman,20242025,VAN,L,C,19,1,5,6,-2,2,0.32,1,6,0,0,0,0,0,0,8,12.5,10:29,37.8
Scott Morrow,20242025,CAR,R,D,14,1,5,6,4,0,0.43,1,6,0,0,0,0,0,0,23,4.4,15:48,--
Arber Xhekaj,20242025,MTL,L,D,70,1,5,6,-13,118,0.09,1,6,0,0,0,0,0,0,69,1.5,14:37,--
Jack Johnson,20242025,CBJ,L,D,41,0,6,6,-13,2,0.15,0,6,0,0,0,0,0,0,23,0,12:52,--
Dennis Gilbert,20242025,"BUF,OTT",L,D,29,0,6,6,-3,50,0.21,0,6,0,0,0,0,0,0,9,0,10:29,--
Artyom Levshunov,20242025,CHI,R,D,18,0,6,6,-13,8,0.33,0,4,0,2,0,0,0,0,21,0,20:19,--
Vinni Lettieri,20242025,BOS,R,C,26,3,2,5,-9,6,0.19,3,5,0,0,0,0,0,0,52,5.8,13:31,50
Tyson Kozak,20242025,BUF,L,C,21,3,2,5,-2,2,0.24,2,4,1,1,0,0,0,0,11,27.3,10:29,46.2
Fraser Minten,20242025,"TOR,BOS",L,C,21,3,2,5,-5,2,0.24,3,4,0,1,0,0,0,1,24,12.5,13:01,45.8
Erik Johnson,20242025,"PHI,COL",R,D,36,2,3,5,1,15,0.14,2,4,0,0,0,1,0,0,37,5.4,14:35,--
Nick Leddy,20242025,STL,L,D,31,2,3,5,6,2,0.16,2,5,0,0,0,0,0,0,21,9.5,18:40,--
Curtis Lazar,20242025,NJD,R,C,48,2,3,5,-6,14,0.1,2,5,0,0,0,0,0,0,27,7.4,10:34,51.3
Ryan Shea,20242025,PIT,L,D,39,2,3,5,-9,14,0.13,2,4,0,1,0,0,0,0,19,10.5,16:44,--
Rodrigo Abols,20242025,PHI,L,C,22,2,3,5,-10,4,0.23,2,5,0,0,0,0,0,0,25,8,9:11,58.4
Philippe Myers,20242025,TOR,R,D,36,2,3,5,0,15,0.14,2,5,0,0,0,0,0,0,46,4.4,16:14,--
Juuso Välimäki,20242025,UTA,L,D,43,2,3,5,-5,14,0.12,2,5,0,0,0,0,0,0,40,5,16:33,--
Liam Ohgren,20242025,MIN,L,L,24,2,3,5,-6,2,0.21,2,4,0,1,0,0,0,1,32,6.3,11:06,--
Devin Shore,20242025,MIN,L,C,55,1,4,5,-8,6,0.09,1,5,0,0,0,0,0,0,41,2.4,8:39,49.5
Oliver Kylington,20242025,"COL,ANA",L,D,19,1,4,5,-2,8,0.26,1,5,0,0,0,0,0,0,6,16.7,12:18,--
Jordan Harris,20242025,CBJ,L,D,33,1,4,5,-1,6,0.15,1,5,0,0,0,0,0,0,15,6.7,11:23,--
Adam Wilsby,20242025,NSH,L,D,23,1,4,5,3,6,0.22,1,5,0,0,0,0,0,0,33,3,18:06,--
Isaiah George,20242025,NYI,L,D,33,1,4,5,-3,6,0.15,1,5,0,0,0,0,0,1,26,3.9,15:39,--
Olle Lycksell,20242025,PHI,L,R,19,0,5,5,-3,2,0.26,0,4,0,1,0,0,0,0,10,0,11:53,50
Nils Lundkvist,20242025,DAL,R,D,39,0,5,5,4,20,0.13,0,5,0,0,0,0,0,0,52,0,15:01,--
Sam Rinzel,20242025,CHI,R,D,9,0,5,5,1,0,0.56,0,2,0,3,0,0,0,0,22,0,23:22,--
Jonah Gadjovich,20242025,FLA,L,L,42,4,0,4,-7,60,0.1,4,4,0,0,0,0,0,2,43,9.3,8:27,60
Arthur Kaliyev,20242025,NYR,L,R,14,3,1,4,2,2,0.29,3,4,0,0,0,0,0,0,21,14.3,11:13,--
Louis Crevier,20242025,CHI,R,D,32,3,1,4,-6,10,0.13,3,4,0,0,0,0,0,0,28,10.7,17:17,--
Hudson Fasching,20242025,NYI,R,R,43,2,2,4,-4,6,0.09,2,4,0,0,0,0,0,0,51,3.9,11:05,20
Kieffer Bellows,20242025,NSH,L,L,19,2,2,4,-6,6,0.21,2,2,0,2,0,0,0,1,28,7.1,10:40,66.7
Logan Mailloux,20242025,MTL,R,D,7,2,2,4,-5,6,0.57,2,4,0,0,0,0,0,0,10,20,16:12,--
Simon Nemec,20242025,NJD,R,D,27,2,2,4,-10,14,0.15,2,2,0,2,0,0,0,1,26,7.7,14:59,--
John Klingberg,20242025,EDM,R,D,11,1,3,4,0,8,0.36,1,4,0,0,0,0,0,0,19,5.3,17:15,--
Ryan Graves,20242025,PIT,L,D,61,1,3,4,-15,29,0.07,1,4,0,0,0,0,0,0,39,2.6,14:59,--
Ross Johnston,20242025,ANA,L,L,43,1,3,4,-2,72,0.09,1,4,0,0,0,0,0,1,9,11.1,8:41,0
Lucas Carlsson,20242025,SJS,L,D,13,1,3,4,-2,14,0.31,1,4,0,0,0,0,0,1,15,6.7,19:22,--
Zack Ostapchuk,20242025,"OTT,SJS",L,C,56,1,3,4,-8,45,0.07,1,4,0,0,0,0,0,0,26,3.9,9:25,48.6
Ivan Miroshnichenko,20242025,WSH,R,L,18,1,3,4,1,0,0.22,1,3,0,1,0,0,0,0,14,7.1,9:21,--
Jimmy Snuggerud,20242025,STL,R,R,7,1,3,4,0,0,0.57,0,3,1,1,0,0,0,0,10,10,15:28,--
Nikolas Matinpalo,20242025,OTT,R,D,41,1,3,4,-2,20,0.1,1,4,0,0,0,0,0,0,43,2.3,12:37,--
Erik Gudbranson,20242025,CBJ,R,D,16,0,4,4,1,6,0.25,0,4,0,0,0,0,0,0,12,0,17:46,--
Rory Kerins,20242025,CGY,L,C,5,0,4,4,3,0,0.8,0,3,0,1,0,0,0,0,3,0,12:14,33.3
Oliver Moore,20242025,CHI,L,C,9,0,4,4,-2,4,0.44,0,4,0,0,0,0,0,0,10,0,13:35,40.7
Juha Jaaska,20242025,CAR,L,L,18,0,4,4,0,9,0.22,0,3,0,0,0,1,0,0,11,0,8:56,51.6
Austin Watson,20242025,DET,R,L,13,3,0,3,1,17,0.23,3,3,0,0,0,0,0,0,13,23.1,7:51,66.7
Nicolas Deslauriers,20242025,PHI,L,L,31,2,1,3,-9,15,0.1,2,3,0,0,0,0,0,0,25,8,7:38,33.3
Zack MacEwen,20242025,OTT,R,R,21,2,1,3,0,21,0.14,2,3,0,0,0,0,0,0,26,7.7,7:46,42.9
Kailer Yamamoto,20242025,UTA,R,R,12,2,1,3,-1,2,0.25,1,1,1,2,0,0,0,0,13,15.4,12:07,100
Valtteri Puustinen,20242025,PIT,R,R,13,2,1,3,-4,4,0.23,0,1,2,2,0,0,0,0,8,25,9:54,--
Walker Duehr,20242025,"CGY,SJS",R,R,24,2,1,3,-11,0,0.13,2,3,0,0,0,0,0,0,15,13.3,8:48,11.1
Nikita Chibrikov,20242025,WPG,L,R,4,2,1,3,1,0,0.75,2,2,0,1,0,0,0,0,6,33.3,11:24,--
Marc McLaughlin,20242025,"BOS,NJD",R,C,14,2,1,3,-2,0,0.21,2,3,0,0,0,0,0,0,13,15.4,9:12,43.8
Cam Lund,20242025,SJS,R,C,11,2,1,3,-10,4,0.27,1,2,1,1,0,0,0,0,12,16.7,11:30,66.7
Marc-Edouard Vlasic,20242025,SJS,L,D,27,1,2,3,-10,2,0.11,1,2,0,0,0,1,0,0,20,5,14:38,--
Tyson Barrie,20242025,CGY,R,D,13,1,2,3,-7,4,0.23,1,1,0,2,0,0,0,0,19,5.3,15:48,--
Matt Nieto,20242025,PIT,L,L,32,1,2,3,-8,4,0.09,1,2,0,1,0,0,0,0,31,3.2,12:15,40
Andreas Englund,20242025,"LAK,NSH",L,D,35,1,2,3,-9,48,0.09,1,3,0,0,0,0,0,0,17,5.9,13:16,--
Mitchell Stephens,20242025,SEA,R,C,28,1,2,3,-8,6,0.11,1,3,0,0,0,0,0,0,19,5.3,9:14,53.6
Akil Thomas,20242025,LAK,R,C,25,1,2,3,-4,7,0.12,1,3,0,0,0,0,0,0,20,5,9:55,43.9
Andre Lee,20242025,LAK,L,L,19,1,2,3,-5,11,0.16,1,3,0,0,0,0,0,1,18,5.6,9:10,--
Fabian Lysell,20242025,BOS,R,R,12,1,2,3,-4,6,0.25,0,2,1,1,0,0,0,1,21,4.8,13:27,--
David Jiricek,20242025,"CBJ,MIN",R,D,12,1,2,3,0,6,0.25,1,3,0,0,0,0,0,0,9,11.1,12:07,--
Maveric Lamoureux,20242025,UTA,R,D,15,1,2,3,3,42,0.2,1,3,0,0,0,0,0,0,17,5.9,16:07,--
Rutger McGroarty,20242025,PIT,L,R,8,1,2,3,0,0,0.38,1,3,0,0,0,0,0,0,11,9.1,14:37,0
Owen Pickering,20242025,PIT,L,D,25,1,2,3,-5,6,0.12,1,3,0,0,0,0,0,0,15,6.7,14:49,--
Elias Pettersson,20242025,VAN,L,D,28,1,2,3,-4,17,0.11,1,3,0,0,0,0,0,0,19,5.3,12:49,--
Kyle Burroughs,20242025,LAK,R,D,33,0,3,3,3,39,0.09,0,3,0,0,0,0,0,0,6,0,7:49,--
Dryden Hunt,20242025,CGY,L,L,5,0,3,3,-1,0,0.6,0,3,0,0,0,0,0,0,5,0,11:39,100
Vincent Desharnais,20242025,"VAN,PIT,SJS",R,D,51,0,3,3,-9,45,0.06,0,3,0,0,0,0,0,0,28,0,15:55,--
P.O Joseph,20242025,"STL,PIT",L,D,47,0,3,3,-22,45,0.06,0,3,0,0,0,0,0,0,42,0,15:16,--
Spencer Stastney,20242025,NSH,L,D,23,0,3,3,-7,4,0.13,0,3,0,0,0,0,0,0,15,0,16:11,--
Matthew Kessel,20242025,STL,R,D,29,0,3,3,-3,10,0.1,0,3,0,0,0,0,0,0,17,0,13:08,--
Joshua Roy,20242025,MTL,L,R,12,2,0,2,-6,2,0.17,2,2,0,0,0,0,0,0,14,14.3,11:01,100
Michael Sgarbossa,20242025,WSH,L,C,3,1,1,2,2,2,0.67,1,2,0,0,0,0,0,0,1,100,9:20,45
John Hayden,20242025,SEA,R,C,20,1,1,2,0,31,0.1,1,2,0,0,0,0,0,0,20,5,8:31,53.5
Nicolas Aube-Kubel,20242025,"BUF,NYR",R,R,22,1,1,2,-5,19,0.09,1,2,0,0,0,0,0,0,18,5.6,9:25,62.5
Max Jones,20242025,"BOS,EDM",L,L,26,1,1,2,-13,18,0.08,1,2,0,0,0,0,0,0,17,5.9,9:23,--
Ty Smith,20242025,CAR,L,D,8,1,1,2,1,4,0.25,0,1,1,1,0,0,0,0,14,7.1,13:40,--
Cole Reinhardt,20242025,OTT,L,L,17,1,1,2,-4,15,0.12,1,2,0,0,0,0,0,0,13,7.7,8:12,100
Alex Steeves,20242025,TOR,L,C,7,1,1,2,3,0,0.29,1,2,0,0,0,0,0,0,7,14.3,9:53,--
Justin Robidas,20242025,CAR,R,C,2,1,1,2,1,0,1,1,2,0,0,0,0,0,0,3,33.3,11:09,44.4
Kevin Korchinski,20242025,CHI,L,D,16,1,1,2,-5,8,0.13,1,2,0,0,0,0,0,0,14,7.1,17:05,--
Ivan Demidov,20242025,MTL,L,R,2,1,1,2,1,0,1,1,2,0,0,0,0,0,0,5,20,13:43,0
Ryan Reaves,20242025,TOR,R,R,35,0,2,2,-2,28,0.06,0,2,0,0,0,0,0,0,14,0,7:48,0
Robert Bortuzzo,20242025,UTA,R,D,17,0,2,2,-2,22,0.12,0,2,0,0,0,0,0,0,8,0,10:57,--
Matt Martin,20242025,NYI,L,L,32,0,2,2,-5,10,0.06,0,2,0,0,0,0,0,0,17,0,8:33,53.3
Tyler Johnson,20242025,BOS,R,C,9,0,2,2,-1,10,0.22,0,1,0,1,0,0,0,0,6,0,13:05,63.6
Dylan McIlrath,20242025,WSH,R,D,17,0,2,2,-3,28,0.12,0,2,0,0,0,0,0,0,10,0,11:39,--
Mike Reilly,20242025,NYI,L,D,18,0,2,2,-3,2,0.11,0,2,0,0,0,0,0,0,31,0,15:10,--
Ben Hutton,20242025,VGK,L,D,11,0,2,2,0,0,0.18,0,2,0,0,0,0,0,0,11,0,13:14,--
Liam O'Brien,20242025,UTA,L,C,28,0,2,2,1,50,0.07,0,2,0,0,0,0,0,0,34,0,9:18,0
Keaton Middleton,20242025,COL,L,D,41,0,2,2,0,28,0.05,0,2,0,0,0,0,0,0,44,0,11:29,--
Grant Hutton,20242025,NYI,R,D,13,0,2,2,1,4,0.15,0,2,0,0,0,0,0,0,10,0,13:28,--
John Ludvig,20242025,COL,L,D,8,0,2,2,-4,6,0.25,0,2,0,0,0,0,0,0,9,0,12:57,--
Noah Philp,20242025,EDM,R,C,15,0,2,2,1,2,0.13,0,2,0,0,0,0,0,0,17,0,9:05,39.2
Brennan Othmann,20242025,NYR,L,L,22,0,2,2,7,2,0.09,0,2,0,0,0,0,0,0,20,0,9:58,0
Oliver Kapanen,20242025,MTL,R,C,18,0,2,2,-5,2,0.11,0,1,0,1,0,0,0,0,16,0,10:53,42.9
Luca Cagnoni,20242025,SJS,L,D,6,0,2,2,-4,8,0.33,0,1,0,1,0,0,0,0,7,0,17:39,--
Chris Wagner,20242025,COL,R,R,28,1,0,1,-8,14,0.04,1,1,0,0,0,0,0,0,29,3.5,7:06,44.4
Andreas Athanasiou,20242025,CHI,L,C,8,1,0,1,-1,0,0.13,1,1,0,0,0,0,0,0,8,12.5,10:02,46.4
Clark Bishop,20242025,CGY,L,C,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,4,25,7:15,38.9
Bokondji Imama,20242025,PIT,L,L,16,1,0,1,2,30,0.06,1,1,0,0,0,0,0,1,10,10,5:40,--
Joona Koppanen,20242025,PIT,L,L,11,1,0,1,-3,0,0.09,1,1,0,0,0,0,0,0,10,10,13:23,39.1
Tanner Laczynski,20242025,VGK,R,C,8,1,0,1,-1,6,0.13,1,1,0,0,0,0,0,0,2,50,8:36,43.2
Skyler Brind'Amour,20242025,CAR,L,C,2,1,0,1,-3,2,0.5,1,1,0,0,0,0,0,0,1,100,16:35,68
Patrick Giles,20242025,"FLA,SJS",R,R,17,1,0,1,-3,0,0.06,1,1,0,0,0,0,0,0,15,6.7,9:14,34
Michael Callahan,20242025,BOS,L,D,17,1,0,1,-5,7,0.06,1,1,0,0,0,0,0,0,9,11.1,14:09,--
John Farinacci,20242025,BOS,R,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,100,10:58,75
Matěj  Blümel,20242025,DAL,L,R,7,1,0,1,-1,0,0.14,1,1,0,0,0,0,0,0,10,10,8:26,--
Justin Sourdif,20242025,FLA,R,R,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,2,50,9:27,--
Isaak Phillips,20242025,CHI,L,D,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,3,33.3,11:54,--
Ethan Cardwell,20242025,SJS,R,R,6,1,0,1,-2,2,0.17,1,1,0,0,0,0,0,0,5,20,11:32,50
Callahan Burke,20242025,VGK,R,C,7,1,0,1,2,2,0.14,1,1,0,0,0,0,0,0,12,8.3,10:50,100
Dylan Duke,20242025,TBL,L,L,2,1,0,1,0,0,0.5,1,1,0,0,0,0,0,0,1,100,7:52,--
Arshdeep Bains,20242025,VAN,L,L,13,1,0,1,-5,0,0.08,1,1,0,0,0,0,0,1,8,12.5,10:30,75
Declan Carlile,20242025,TBL,L,D,3,1,0,1,2,0,0.33,1,1,0,0,0,0,0,0,3,33.3,13:00,--
Taylor Ward,20242025,LAK,R,R,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,4,25,14:52,100
Lucas Condotta,20242025,MTL,L,L,7,1,0,1,-2,0,0.14,1,1,0,0,0,0,0,0,5,20,8:12,58.6
Wyatt Aamodt,20242025,COL,L,D,2,1,0,1,1,0,0.5,1,1,0,0,0,0,0,0,3,33.3,17:07,--
Parker Ford,20242025,WPG,R,C,3,1,0,1,1,2,0.33,1,1,0,0,0,0,0,0,2,50,7:50,--
Ryan Leonard,20242025,WSH,R,R,9,1,0,1,-4,11,0.11,1,1,0,0,0,0,0,0,17,5.9,14:11,100
Calum Ritchie,20242025,COL,R,C,7,1,0,1,-7,0,0.14,1,1,0,0,0,0,0,0,11,9.1,12:47,42.9
Zayne Parekh,20242025,CGY,R,D,1,1,0,1,3,2,1,1,1,0,0,0,0,0,0,2,50,20:31,--
Sam Morton,20242025,CGY,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,100,12:25,57.1
Kevin Gravel,20242025,NSH,L,D,6,0,1,1,3,0,0.17,0,1,0,0,0,0,0,0,6,0,17:50,--
T.J. Tynan,20242025,COL,R,C,9,0,1,1,-1,4,0.11,0,1,0,0,0,0,0,0,5,0,7:51,33.3
Joseph LaBate,20242025,CBJ,L,C,6,0,1,1,1,10,0.17,0,1,0,0,0,0,0,0,3,0,9:06,0
Brendan Gaunce,20242025,MIN,L,C,12,0,1,1,-4,4,0.08,0,1,0,0,0,0,0,0,11,0,9:42,48.2
Chad Ruhwedel,20242025,NYR,R,D,5,0,1,1,2,0,0.2,0,1,0,0,0,0,0,0,1,0,14:06,--
Joshua Brown,20242025,EDM,R,D,10,0,1,1,-2,11,0.1,0,1,0,0,0,0,0,0,9,0,12:37,--
Dakota Mermis,20242025,"UTA,TOR",L,D,4,0,1,1,-2,2,0.25,0,1,0,0,0,0,0,0,6,0,15:12,--
Patrick Brown,20242025,BOS,R,C,15,0,1,1,-2,8,0.07,0,1,0,0,0,0,0,0,11,0,10:34,45.5
William Lagesson,20242025,DET,L,D,7,0,1,1,-1,4,0.14,0,1,0,0,0,0,0,0,5,0,14:34,--
Jeremy Lauzon,20242025,NSH,L,D,28,0,1,1,-4,37,0.04,0,1,0,0,0,0,0,0,25,0,17:58,--
Andrew Poturalski,20242025,SJS,R,C,3,0,1,1,-1,2,0.33,0,1,0,0,0,0,0,0,5,0,14:27,48.8
Joey Anderson,20242025,CHI,R,R,18,0,1,1,-2,0,0.06,0,1,0,0,0,0,0,0,17,0,12:24,60
Drake Caggiula,20242025,EDM,L,L,7,0,1,1,0,5,0.14,0,1,0,0,0,0,0,0,6,0,7:18,100
Dominik Shine,20242025,DET,R,R,9,0,1,1,-1,15,0.11,0,1,0,0,0,0,0,0,5,0,8:39,--
Cale Fleury,20242025,SEA,R,D,14,0,1,1,1,0,0.07,0,1,0,0,0,0,0,0,16,0,12:52,--
Jaret Anderson-Dolan,20242025,WPG,L,C,7,0,1,1,3,4,0.14,0,1,0,0,0,0,0,0,8,0,9:56,50
Ian Mitchell,20242025,BOS,R,D,15,0,1,1,-2,2,0.07,0,1,0,0,0,0,0,0,10,0,15:36,--
Emil Bemstrom,20242025,PIT,R,C,14,0,1,1,0,0,0.07,0,1,0,0,0,0,0,0,13,0,8:20,66.7
Jack St. Ivany,20242025,PIT,R,D,19,0,1,1,-3,17,0.05,0,1,0,0,0,0,0,0,12,0,16:22,--
Angus Crookshank,20242025,OTT,L,L,8,0,1,1,-1,0,0.13,0,1,0,0,0,0,0,0,9,0,9:50,33.3
Nolan Foote,20242025,NJD,L,L,7,0,1,1,0,0,0.14,0,1,0,0,0,0,0,0,5,0,9:49,50
Ville Heinola,20242025,WPG,L,D,18,0,1,1,6,4,0.06,0,1,0,0,0,0,0,0,12,0,14:11,--
Sam Poulin,20242025,PIT,L,R,7,0,1,1,1,2,0.14,0,1,0,0,0,0,0,0,3,0,10:04,--
Danil Gushchin,20242025,SJS,L,L,12,0,1,1,-3,6,0.08,0,1,0,0,0,0,0,0,16,0,12:18,100
Ozzy Wiesblatt,20242025,NSH,R,C,5,0,1,1,1,0,0.2,0,1,0,0,0,0,0,0,4,0,11:06,--
Helge Grans,20242025,PHI,R,D,6,0,1,1,0,2,0.17,0,1,0,0,0,0,0,0,5,0,14:28,--
Ian Moore,20242025,ANA,R,D,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,4,0,13:38,--
Jeff Malott,20242025,LAK,L,L,12,0,1,1,-1,7,0.08,0,1,0,0,0,0,0,0,13,0,10:17,50
Ilya Solovyov,20242025,CGY,L,D,5,0,1,1,-3,2,0.2,0,1,0,0,0,0,0,0,6,0,15:40,--
Mike Hardman,20242025,NJD,L,L,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,2,0,9:03,0
Matt Kiersted,20242025,FLA,L,D,2,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,0,--,12:41,--
Ryan Winterton,20242025,SEA,R,C,12,0,1,1,-11,2,0.08,0,1,0,0,0,0,0,0,15,0,10:50,50
Isak Rosen,20242025,BUF,L,R,8,0,1,1,-3,0,0.13,0,1,0,0,0,0,0,0,8,0,9:38,--
Ville Ottavainen,20242025,SEA,R,D,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,14:24,--
Owen Beck,20242025,MTL,R,C,12,0,1,1,-2,0,0.08,0,1,0,0,0,0,0,0,10,0,9:59,53.9
Brad Lambert,20242025,WPG,R,C,5,0,1,1,0,2,0.2,0,1,0,0,0,0,0,0,1,0,11:36,33.3
Matt Savoie,20242025,EDM,R,C,4,0,1,1,-4,0,0.25,0,1,0,0,0,0,0,0,6,0,12:31,66.7
Georgii Merkulov,20242025,BOS,L,C,6,0,1,1,-1,2,0.17,0,1,0,0,0,0,0,0,7,0,13:44,0
Bradly Nadeau,20242025,CAR,R,L,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,8,0,11:29,--
Matthew Wood,20242025,NSH,R,R,6,0,1,1,0,2,0.17,0,1,0,0,0,0,0,0,8,0,11:35,33.3
Justin Hryckowian,20242025,DAL,L,C,5,0,1,1,1,0,0.2,0,1,0,0,0,0,0,0,3,0,7:53,60
Arttu Hyry,20242025,DAL,R,R,5,0,1,1,0,0,0.2,0,1,0,0,0,0,0,0,5,0,9:05,68.8
Alexander Petrovic,20242025,DAL,R,D,5,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,5,0,14:06,--
Jani Hakanpää,20242025,TOR,R,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,14:05,--
Travis Boyd,20242025,MIN,R,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:48,--
Dominic Toninato,20242025,WPG,L,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8:16,60
Matthew Benning,20242025,SJS,R,D,7,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,7,0,13:02,--
Jaycob Megna,20242025,FLA,L,D,8,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,5,0,16:06,--
Kurtis MacDermid,20242025,NJD,L,L,23,0,0,0,-5,23,0,0,0,0,0,0,0,0,0,7,0,5:47,--
Scott Sabourin,20242025,SJS,R,R,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,10:27,--
Robert Hagg,20242025,VGK,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,11:09,--
Steven Santini,20242025,TBL,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11:37,--
Conor Sheary,20242025,TBL,L,L,5,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,3,0,11:20,0
Sonny Milano,20242025,WSH,L,L,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,4,0,7:13,--
Mark Friedman,20242025,VAN,R,D,5,0,0,0,-4,10,0,0,0,0,0,0,0,0,0,4,0,14:04,--
Hayden Hodgson,20242025,OTT,R,R,2,0,0,0,-2,5,0,0,0,0,0,0,0,0,0,2,0,8:35,--
Colin White,20242025,SJS,R,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,7:18,23.1
Travis Dermott,20242025,"EDM,MIN",L,D,19,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,8,0,12:16,--
Caleb Jones,20242025,LAK,L,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,6,0,12:34,--
Noah Juulsen,20242025,VAN,R,D,35,0,0,0,-12,21,0,0,0,0,0,0,0,0,0,26,0,16:17,--
Guillaume Brisebois,20242025,VAN,L,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15:48,--
Kyle Capobianco,20242025,DAL,L,D,1,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,--,11:23,--
Julien Gauthier,20242025,NYI,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:42,--
Rasmus Asplund,20242025,FLA,L,C,6,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,7:56,60
Cam Dineen,20242025,EDM,L,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17:11,--
Riley Tufte,20242025,BOS,L,L,6,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,1,0,9:12,50
Givani Smith,20242025,"SJS,COL",L,R,13,0,0,0,-3,18,0,0,0,0,0,0,0,0,0,5,0,6:20,--
Riley Stillman,20242025,CAR,L,D,5,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,1,0,7:11,--
Brett Murray,20242025,BUF,L,L,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,7:55,--
Alexander Nylander,20242025,TOR,R,L,5,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,4,0,9:53,75
Michael Pezzetta,20242025,MTL,L,L,25,0,0,0,-2,24,0,0,0,0,0,0,0,0,0,14,0,5:56,25
Nathan Clurman,20242025,PIT,R,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,11:05,--
Dylan Coghlan,20242025,WPG,R,D,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,9,0,15:21,--
Jeffrey Viel,20242025,BOS,L,L,5,0,0,0,-1,14,0,0,0,0,0,0,0,0,0,3,0,7:41,100
Alex Barré-Boulet,20242025,MTL,L,C,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,--,10:10,--
Tye Felhaber,20242025,COL,L,L,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,5:31,--
Jonas Rondbjerg,20242025,VGK,L,R,13,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,11,0,9:38,20
Shane Bowers,20242025,NJD,L,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,8:15,100
Cameron Crotty,20242025,MIN,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,5:08,--
Ben Jones,20242025,MIN,L,C,26,0,0,0,-3,10,0,0,0,0,0,0,0,0,0,24,0,8:23,48
Alex Alexeyev,20242025,WSH,L,D,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,16:04,--
Grigori Denisenko,20242025,VGK,R,L,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,8:27,0
Liam Foudy,20242025,NYI,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,7:27,--
Adam Ginning,20242025,PHI,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,12:48,--
Jan Jenik,20242025,OTT,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,7:42,33.3
Rafael Harvey-Pinard,20242025,MTL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:54,--
