Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Ryker Evans,20242025,SEA,L,D,73,5,20,25,-12,30,0.34,4,22,1,3,0,0,0,0,59,8.5,19:29,--
Martin Pospisil,20242025,CGY,L,C,81,4,21,25,3,84,0.31,3,21,1,4,0,0,0,0,114,3.5,13:48,40.8
Alexandre Carrier,20242025,"NSH,MTL",R,D,79,3,22,25,-10,40,0.32,3,24,0,0,0,1,0,0,82,3.7,20:35,--
Jiri Kulich,20242025,BUF,L,C,62,15,9,24,-4,18,0.39,15,24,0,0,0,0,1,3,134,11.2,14:48,45.5
Jonatan Berggren,20242025,DET,L,R,75,12,12,24,-13,14,0.32,9,19,3,5,0,0,0,1,88,13.6,12:59,29.4
Philip Tomasino,20242025,"NSH,PIT",R,R,61,11,13,24,-10,8,0.39,8,16,3,8,0,0,0,6,104,10.6,13:04,29.4
Eetu Luostarinen,20242025,FLA,L,C,80,9,15,24,12,28,0.3,8,21,0,1,1,2,0,3,87,10.3,15:17,45.2
Vasily Podkolzin,20242025,EDM,L,R,82,8,16,24,1,48,0.29,8,24,0,0,0,0,0,2,114,7,13:13,24.6
Tyler Myers,20242025,VAN,R,D,71,6,18,24,2,74,0.34,5,21,0,1,1,2,0,0,87,6.9,20:48,--
Mikey Anderson,20242025,LAK,L,D,77,6,18,24,17,28,0.31,6,24,0,0,0,0,0,0,84,7.1,22:41,--
Cody Ceci,20242025,"SJS,DAL",R,D,85,4,20,24,6,24,0.28,4,23,0,0,0,1,0,2,90,4.4,21:13,--
Matt Roy,20242025,WSH,R,D,69,3,21,24,18,25,0.35,3,24,0,0,0,0,0,0,84,3.6,19:53,--
Samuel Girard,20242025,COL,L,D,73,3,21,24,7,14,0.33,3,23,0,1,0,0,1,2,95,3.2,20:51,--
Joel Kiviranta,20242025,COL,L,L,79,16,7,23,15,20,0.29,15,22,0,0,1,1,0,2,84,19.1,12:31,47.9
Kevin Hayes,20242025,PIT,L,R,64,13,10,23,-15,8,0.36,9,15,4,7,0,1,0,1,98,13.3,12:03,52.1
Jesper Boqvist,20242025,FLA,L,C,78,12,11,23,-4,14,0.29,11,22,0,0,1,1,0,3,87,13.8,13:15,42.3
